Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131,tmt_131c
"01CPTAC_GBM_Proteome_PNNL_20190123","01CPTAC_GBM_Proteome_PNNL_20190123","24","ref
Not Reported","GTEX-Y8DK-0011-R10A-SM-HAKY1
Solid Tissue Normal","C3N-03183
Primary Tumor","C3N-01505
Primary Tumor","C3N-03188
Primary Tumor","C3L-02984
Primary Tumor","C3L-02542
Primary Tumor","C3L-01142
Primary Tumor","C3L-01834
Primary Tumor","C3N-02256
Primary Tumor","C3N-01814
Primary Tumor"
"02CPTAC_GBM_Proteome_PNNL_20190123","02CPTAC_GBM_Proteome_PNNL_20190123","24","ref
Not Reported","C3N-02770
Primary Tumor","C3N-01364
Primary Tumor","C3L-00365
Primary Tumor","C3L-03266
Primary Tumor","C3N-01798
Primary Tumor","C3L-01146
Primary Tumor","C3L-03748
Primary Tumor","C3N-02783
Primary Tumor","GTEX-UTHO-0011-R10A-SM-HAKY2
Solid Tissue Normal","C3L-02708
Primary Tumor"
"03CPTAC_GBM_Proteome_PNNL_20190123","03CPTAC_GBM_Proteome_PNNL_20190123","24","ref
Not Reported","C3N-02782
Primary Tumor","C3N-02186
Primary Tumor","C3N-01367
Primary Tumor","C3L-01048
Primary Tumor","C3L-01149
Primary Tumor","GTEX-R55F-0011-R10A-SM-HAKXY
Solid Tissue Normal","C3L-03260
Primary Tumor","C3N-01192
Primary Tumor","C3L-03407
Primary Tumor","C3L-03387
Primary Tumor"
"04CPTAC_GBM_Proteome_PNNL_20190123","04CPTAC_GBM_Proteome_PNNL_20190123","24","ref
Not Reported","C3L-02970
Primary Tumor","C3L-01043
Primary Tumor","C3L-01156
Primary Tumor","C3N-02183
Primary Tumor","GTEX-QVJO-0011-R10A-SM-HAKXV
Solid Tissue Normal","C3L-03681
Primary Tumor","C3L-01154
Primary Tumor","C3L-03728
Primary Tumor","C3N-01818
Primary Tumor","C3L-00674
Primary Tumor"
"05CPTAC_GBM_Proteome_PNNL_20190306","05CPTAC_GBM_Proteome_PNNL_20190306","24","ref
Not Reported","C3N-03186
Primary Tumor","C3N-02181
Primary Tumor","C3N-02784
Primary Tumor","C3N-01517
Primary Tumor","C3L-02707
Primary Tumor","C3L-02955
Primary Tumor","C3N-03182
Primary Tumor","C3L-03392
Primary Tumor","GTEX-P44H-0011-R10A-SM-HAKXX
Solid Tissue Normal","C3L-03405
Primary Tumor"
"06CPTAC_GBM_Proteome_PNNL_20190306","06CPTAC_GBM_Proteome_PNNL_20190306","24","ref
Not Reported","C3L-02465
Primary Tumor","C3L-03747
Primary Tumor
Disqualified","C3N-03473
Primary Tumor","C3L-01049
Primary Tumor","C3N-02185
Primary Tumor","C3N-01851
Primary Tumor","C3N-01816
Primary Tumor","C3N-01369
Primary Tumor","C3L-02642
Primary Tumor","GTEX-RU72-0011-R10A-SM-HAKXS
Solid Tissue Normal"
"07CPTAC_GBM_Proteome_PNNL_20190306","07CPTAC_GBM_Proteome_PNNL_20190306","24","ref
Not Reported","C3L-03390
Primary Tumor","C3N-03088
Primary Tumor","C3L-01155
Primary Tumor","C3N-03070
Primary Tumor","C3L-01045
Primary Tumor","C3L-00677
Primary Tumor","C3N-02255
Primary Tumor","C3L-01061
Primary Tumor","C3L-02041
Primary Tumor","C3L-01046
Primary Tumor"
"08CPTAC_GBM_Proteome_PNNL_20190306","08CPTAC_GBM_Proteome_PNNL_20190306","24","ref
Not Reported","C3N-01518
Primary Tumor","C3N-00662
Primary Tumor","C3L-03400
Primary Tumor","C3N-01815
Primary Tumor","C3N-01856
Primary Tumor","C3L-02704
Primary Tumor","GTEX-RN5K-0011-R10A-SM-HAKXU
Solid Tissue Normal","C3L-01887
Primary Tumor","C3N-01857
Primary Tumor","C3N-01196
Primary Tumor"
"09CPTAC_GBM_Proteome_PNNL_20190501","09CPTAC_GBM_Proteome_PNNL_20190501","24","ref
Not Reported","GTEX-WVLH-0011-R10A-SM-HAKXZ
Solid Tissue Normal","C3N-01366
Primary Tumor","C3N-00661
Primary Tumor","C3L-03744
Primary Tumor","C3L-03968
Primary Tumor","C3L-02504
Primary Tumor","C3N-02788
Primary Tumor","C3L-04084
Primary Tumor","C3L-01157
Primary Tumor","C3L-02705
Primary Tumor"
"10CPTAC_GBM_Proteome_PNNL_20190501","10CPTAC_GBM_Proteome_PNNL_20190501","24","ref
Not Reported","C3N-01334
Primary Tumor","C3N-03180
Primary Tumor","C3N-01852
Primary Tumor","C3L-03727
Primary Tumor","C3N-01368
Primary Tumor","GTEX-Q2AG-0011-R10A-SM-HAKXT
Solid Tissue Normal","C3N-00665
Primary Tumor","C3N-03184
Primary Tumor","C3L-02900
Primary Tumor","C3N-00663
Primary Tumor"
"11CPTAC_GBM_Proteome_PNNL_20190501","11CPTAC_GBM_Proteome_PNNL_20190501","24","ref
Not Reported","C3L-01327
Primary Tumor","C3N-02786
Primary Tumor","C3L-01040
Primary Tumor","C3N-02188
Primary Tumor","C3N-01515
Primary Tumor","C3L-00104
Primary Tumor","C3N-02769
Primary Tumor","C3N-02785
Primary Tumor","GTEX-NPJ7-0011-R10A-SM-HAKXW
Solid Tissue Normal","C3N-02190
Primary Tumor"
