source name	characteristics[organism]	characteristics[organism part]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[disease]	characteristics[depletion]	characteristics[biological replicate]	characteristics[sampling time]	assay name	Technology type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameter]	comment[modification parameter]	comment[modification parameter]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD020727-Sample-1	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	ABA_1	proteomic profiling by mass spectrometry	ABA_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ABA_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-2	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	ABA_2	proteomic profiling by mass spectrometry	ABA_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ABA_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-3	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	ABA_3	proteomic profiling by mass spectrometry	ABA_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ABA_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-4	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	ABA_4	proteomic profiling by mass spectrometry	ABA_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ABA_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-5	Homo sapiens	blood plasma	5	not applicable	not available	not available	not available	not available	normal	depleted	5	not applicable	ABA_5	proteomic profiling by mass spectrometry	ABA_5.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ABA_5.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	5	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-6	Homo sapiens	blood plasma	6	not applicable	not available	not available	not available	not available	normal	depleted	6	not applicable	ABA_6	proteomic profiling by mass spectrometry	ABA_6.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ABA_6.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	6	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-7	Homo sapiens	blood plasma	1	not applicable	not available	not available	not available	not available	normal	depleted	1	not applicable	ATP_1	proteomic profiling by mass spectrometry	ATP_1.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ATP_1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-8	Homo sapiens	blood plasma	2	not applicable	not available	not available	not available	not available	normal	depleted	2	not applicable	ATP_2	proteomic profiling by mass spectrometry	ATP_2.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ATP_2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	2	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-9	Homo sapiens	blood plasma	3	not applicable	not available	not available	not available	not available	normal	depleted	3	not applicable	ATP_3	proteomic profiling by mass spectrometry	ATP_3.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ATP_3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	3	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
PXD020727-Sample-10	Homo sapiens	blood plasma	4	not applicable	not available	not available	not available	not available	normal	depleted	4	not applicable	ATP_4	proteomic profiling by mass spectrometry	ATP_4.raw	https://www.ebi.ac.uk/pride/archive/projects/PXD020727/ATP_4.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	4	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1003028; NT=Orbitrap Exploris 480	AC=MS:1002523; NT=Q Exactive HF	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Carbamylation;AC=UNIMOD:5;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	30 NCE	15ppm 	15ppm 	blood plasma
