source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000307-Sample-1	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aCXEnUytd4LdlEJf4Agx5tosdURzMyAZp4ydH8~WbYZhKZcsKxgLNm-zqozpmlHtbXqBBJUQVpS3XcfpANoYIDYqUEO1VFlXeT26Y9cCngw7BBnq9k99jgnP-XkuroNCTaDJ-GLQRE~qGcYdE02mL23yZ78YWsHfkZw1Pmg2Ax1sMXxp6X1ILJt7D3tAiO2KHTtVSlKjSop4xqcX4k-Dt8sm2kMVeuxLDFxN2fLLs9e~OfLtGd-ExjdWkeoAvdkqqfjn4u2yW6jyhkiOnl2KOuba-MV~29BUr9l9PUqbAP0ojAqdc9GdodO~HnxGCzJv7TJosJsAMuhJwHu-UWh6gw__	1	1	tmt_126	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-2	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aCXEnUytd4LdlEJf4Agx5tosdURzMyAZp4ydH8~WbYZhKZcsKxgLNm-zqozpmlHtbXqBBJUQVpS3XcfpANoYIDYqUEO1VFlXeT26Y9cCngw7BBnq9k99jgnP-XkuroNCTaDJ-GLQRE~qGcYdE02mL23yZ78YWsHfkZw1Pmg2Ax1sMXxp6X1ILJt7D3tAiO2KHTtVSlKjSop4xqcX4k-Dt8sm2kMVeuxLDFxN2fLLs9e~OfLtGd-ExjdWkeoAvdkqqfjn4u2yW6jyhkiOnl2KOuba-MV~29BUr9l9PUqbAP0ojAqdc9GdodO~HnxGCzJv7TJosJsAMuhJwHu-UWh6gw__	1	1	tmt_127n	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-3	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aCXEnUytd4LdlEJf4Agx5tosdURzMyAZp4ydH8~WbYZhKZcsKxgLNm-zqozpmlHtbXqBBJUQVpS3XcfpANoYIDYqUEO1VFlXeT26Y9cCngw7BBnq9k99jgnP-XkuroNCTaDJ-GLQRE~qGcYdE02mL23yZ78YWsHfkZw1Pmg2Ax1sMXxp6X1ILJt7D3tAiO2KHTtVSlKjSop4xqcX4k-Dt8sm2kMVeuxLDFxN2fLLs9e~OfLtGd-ExjdWkeoAvdkqqfjn4u2yW6jyhkiOnl2KOuba-MV~29BUr9l9PUqbAP0ojAqdc9GdodO~HnxGCzJv7TJosJsAMuhJwHu-UWh6gw__	1	1	tmt_128c	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-4	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aCXEnUytd4LdlEJf4Agx5tosdURzMyAZp4ydH8~WbYZhKZcsKxgLNm-zqozpmlHtbXqBBJUQVpS3XcfpANoYIDYqUEO1VFlXeT26Y9cCngw7BBnq9k99jgnP-XkuroNCTaDJ-GLQRE~qGcYdE02mL23yZ78YWsHfkZw1Pmg2Ax1sMXxp6X1ILJt7D3tAiO2KHTtVSlKjSop4xqcX4k-Dt8sm2kMVeuxLDFxN2fLLs9e~OfLtGd-ExjdWkeoAvdkqqfjn4u2yW6jyhkiOnl2KOuba-MV~29BUr9l9PUqbAP0ojAqdc9GdodO~HnxGCzJv7TJosJsAMuhJwHu-UWh6gw__	1	1	tmt_129n	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-5	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aCXEnUytd4LdlEJf4Agx5tosdURzMyAZp4ydH8~WbYZhKZcsKxgLNm-zqozpmlHtbXqBBJUQVpS3XcfpANoYIDYqUEO1VFlXeT26Y9cCngw7BBnq9k99jgnP-XkuroNCTaDJ-GLQRE~qGcYdE02mL23yZ78YWsHfkZw1Pmg2Ax1sMXxp6X1ILJt7D3tAiO2KHTtVSlKjSop4xqcX4k-Dt8sm2kMVeuxLDFxN2fLLs9e~OfLtGd-ExjdWkeoAvdkqqfjn4u2yW6jyhkiOnl2KOuba-MV~29BUr9l9PUqbAP0ojAqdc9GdodO~HnxGCzJv7TJosJsAMuhJwHu-UWh6gw__	1	1	tmt_130c	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-6	human + mouse	Not Reported	not available	not available	not available	not available	Not Reported	1	WHIM IR	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f01.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=aCXEnUytd4LdlEJf4Agx5tosdURzMyAZp4ydH8~WbYZhKZcsKxgLNm-zqozpmlHtbXqBBJUQVpS3XcfpANoYIDYqUEO1VFlXeT26Y9cCngw7BBnq9k99jgnP-XkuroNCTaDJ-GLQRE~qGcYdE02mL23yZ78YWsHfkZw1Pmg2Ax1sMXxp6X1ILJt7D3tAiO2KHTtVSlKjSop4xqcX4k-Dt8sm2kMVeuxLDFxN2fLLs9e~OfLtGd-ExjdWkeoAvdkqqfjn4u2yW6jyhkiOnl2KOuba-MV~29BUr9l9PUqbAP0ojAqdc9GdodO~HnxGCzJv7TJosJsAMuhJwHu-UWh6gw__	1	1	tmt_131	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM IR	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-1	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=TI1p5cNByejNzlBwPwnZJSyY3aajatlBiU7JNtLsEnnORwhnG7dKRTKuA8cgPo8UmnU~Q2-TiJ5qhl~f~GVjNZF~G8b2Y0fFDLIbKcPBMcPhmUNw2Jq~oFP2N5vThp~ObGvg9P2akqWZgO1aEJfIcxfn7e9k5bd51F4ibTLjVKmyHHps2gGkiK~VMVHIG2tLjys27Kf2KrqbUP2P-VHPNiw85C7ZQKOE7-zD7GjkTpzSyJIqIXw-TPUZ9MHjjHmHpEyWlFbhToz~fZBHV1Tt2RqMo4jBKd60KXdPcFz56VRFlxNnvABJfLSteFx7ksXh5dMwqdjM0EYGYTGEs3mrhA__	1	2	tmt_126	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-2	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=TI1p5cNByejNzlBwPwnZJSyY3aajatlBiU7JNtLsEnnORwhnG7dKRTKuA8cgPo8UmnU~Q2-TiJ5qhl~f~GVjNZF~G8b2Y0fFDLIbKcPBMcPhmUNw2Jq~oFP2N5vThp~ObGvg9P2akqWZgO1aEJfIcxfn7e9k5bd51F4ibTLjVKmyHHps2gGkiK~VMVHIG2tLjys27Kf2KrqbUP2P-VHPNiw85C7ZQKOE7-zD7GjkTpzSyJIqIXw-TPUZ9MHjjHmHpEyWlFbhToz~fZBHV1Tt2RqMo4jBKd60KXdPcFz56VRFlxNnvABJfLSteFx7ksXh5dMwqdjM0EYGYTGEs3mrhA__	1	2	tmt_127n	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-3	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=TI1p5cNByejNzlBwPwnZJSyY3aajatlBiU7JNtLsEnnORwhnG7dKRTKuA8cgPo8UmnU~Q2-TiJ5qhl~f~GVjNZF~G8b2Y0fFDLIbKcPBMcPhmUNw2Jq~oFP2N5vThp~ObGvg9P2akqWZgO1aEJfIcxfn7e9k5bd51F4ibTLjVKmyHHps2gGkiK~VMVHIG2tLjys27Kf2KrqbUP2P-VHPNiw85C7ZQKOE7-zD7GjkTpzSyJIqIXw-TPUZ9MHjjHmHpEyWlFbhToz~fZBHV1Tt2RqMo4jBKd60KXdPcFz56VRFlxNnvABJfLSteFx7ksXh5dMwqdjM0EYGYTGEs3mrhA__	1	2	tmt_128c	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000307-Sample-4	human + mouse	not available	not available	not available	not available	not available	Triple-negative breast cancer	1	WHIM 06	not available	Xenograft Tissue	run2	proteomic profiling by mass spectrometry	BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/124/BKM05_WHIM06_W_BI_20150416_H-FM_f02.raw?Expires=1685684159&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=TI1p5cNByejNzlBwPwnZJSyY3aajatlBiU7JNtLsEnnORwhnG7dKRTKuA8cgPo8UmnU~Q2-TiJ5qhl~f~GVjNZF~G8b2Y0fFDLIbKcPBMcPhmUNw2Jq~oFP2N5vThp~ObGvg9P2akqWZgO1aEJfIcxfn7e9k5bd51F4ibTLjVKmyHHps2gGkiK~VMVHIG2tLjys27Kf2KrqbUP2P-VHPNiw85C7ZQKOE7-zD7GjkTpzSyJIqIXw-TPUZ9MHjjHmHpEyWlFbhToz~fZBHV1Tt2RqMo4jBKd60KXdPcFz56VRFlxNnvABJfLSteFx7ksXh5dMwqdjM0EYGYTGEs3mrhA__	1	2	tmt_129n	NT=Q Exactive;AC=MS:1001911	NT=HCD;AC=PRIDE:0000590	28% NCE	20 ppm	20 ppm	WHIM 06	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=N-term;AC=UNIMOD:28	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
