Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131
"01CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-1","6","11CO037
Solid Tissue Normal","11CO051
Solid Tissue Normal","01CO008
Primary Tumor","22CO006
Primary Tumor","05CO002
Primary Tumor","11CO036
Primary Tumor","20CO006
Primary Tumor","01CO019
Primary Tumor","09CO005
Primary Tumor","ColonRef
Not Reported"
"02CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-2","6","05CO035
Solid Tissue Normal","05CO053
Primary Tumor","20CO001
Solid Tissue Normal","05CO045
Primary Tumor","05CO045
Solid Tissue Normal","05CO035
Primary Tumor","15CO001
Solid Tissue Normal","05CO044
Primary Tumor","20CO001
Primary Tumor","ColonRef
Not Reported"
"03CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-3","6","11CO053
Primary Tumor","11CO019
Solid Tissue Normal","20CO007
Primary Tumor","05CO041
Solid Tissue Normal","11CO042
Solid Tissue Normal","05CO033
Solid Tissue Normal","11CO008
Solid Tissue Normal","11CO008
Primary Tumor","11CO019
Primary Tumor","ColonRef
Not Reported"
"04CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-4","6","09CO008
Solid Tissue Normal","11CO033
Primary Tumor","05CO044
Solid Tissue Normal","05CO039
Primary Tumor","11CO020
Primary Tumor","21CO007
Primary Tumor","05CO041
Primary Tumor","09CO005
Solid Tissue Normal","05CO034
Primary Tumor","ColonRef
Not Reported"
"05CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-5","6","05CO007
Solid Tissue Normal","05CO054
Primary Tumor","05CO029
Primary Tumor","21CO007
Solid Tissue Normal","20CO003
Primary Tumor","01CO006
Solid Tissue Normal","15CO002
Primary Tumor","11CO022
Primary Tumor","05CO050
Solid Tissue Normal","ColonRef
Not Reported"
"06CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-6","6","09CO019
Primary Tumor","11CO032
Primary Tumor","11CO043
Primary Tumor","05CO011
Solid Tissue Normal","11CO021
Solid Tissue Normal","11CO018
Primary Tumor","01CO014
Solid Tissue Normal","11CO077
Primary Tumor","22CO004
Primary Tumor","ColonRef
Not Reported"
"07CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-7","6","09CO014
Primary Tumor","09CO006
Solid Tissue Normal","16CO011
Primary Tumor","15CO002
Solid Tissue Normal","11CO018
Solid Tissue Normal","27CO004
Solid Tissue Normal","09CO015
Solid Tissue Normal","11CO051
Primary Tumor","11CO070
Solid Tissue Normal","ColonRef
Not Reported"
"08CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-8","6","11CO021
Primary Tumor","09CO018
Primary Tumor","01CO001
Solid Tissue Normal","14CO002
Solid Tissue Normal","11CO037
Primary Tumor","11CO054
Primary Tumor","11CO033
Solid Tissue Normal","09CO011
Primary Tumor","16CO006
Solid Tissue Normal","ColonRef
Not Reported"
"09CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-9","6","20CO004
Primary Tumor","05CO029
Solid Tissue Normal","05CO003
Solid Tissue Normal","01CO014
Primary Tumor","05CO032
Primary Tumor","11CO052
Primary Tumor","05CO020
Primary Tumor","05CO049
Primary Tumor","05CO037
Primary Tumor","ColonRef
Not Reported"
"10CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-10","6","05CO049
Solid Tissue Normal","11CO031
Solid Tissue Normal","05CO015
Solid Tissue Normal","11CO052
Solid Tissue Normal","05CO048
Primary Tumor","05CO026
Solid Tissue Normal","11CO007
Solid Tissue Normal","11CO048
Primary Tumor","09CO008
Primary Tumor","ColonRef
Not Reported"
"11CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-11","6","11CO045
Primary Tumor","05CO054
Solid Tissue Normal","14CO003
Primary Tumor","05CO034
Solid Tissue Normal","05CO026
Primary Tumor","11CO054
Solid Tissue Normal","21CO006
Primary Tumor","11CO030
Primary Tumor","11CO027
Solid Tissue Normal","ColonRef
Not Reported"
"12CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-12","6","11CO061
Solid Tissue Normal","05CO053
Solid Tissue Normal","11CO062
Primary Tumor","11CO048
Solid Tissue Normal","01CO013
Solid Tissue Normal","11CO047
Primary Tumor","11CO072
Primary Tumor","11CO047
Solid Tissue Normal","22CO006
Solid Tissue Normal","ColonRef
Not Reported"
"13CPTAC_COprospective_Phosphoproteome_PNNL_20170215","S037-3-13","6","14CO005
Solid Tissue Normal","11CO031
Primary Tumor","01CO015
Solid Tissue Normal","11CO032
Solid Tissue Normal","11CO077
Solid Tissue Normal","11CO053
Solid Tissue Normal","11CO044
Primary Tumor","09CO022
Solid Tissue Normal","20CO007
Solid Tissue Normal","ColonRef
Not Reported"
