Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131,tmt_131c
"liver01_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-11","48","MIX
Not Reported","1
Primary Tumor","1
Solid Tissue Normal","2
Primary Tumor","2
Solid Tissue Normal","3
Primary Tumor","3
Solid Tissue Normal","4
Primary Tumor","4
Solid Tissue Normal","5
Primary Tumor","5
Solid Tissue Normal"
"liver02_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-7","48","MIX
Not Reported","6
Primary Tumor","6
Solid Tissue Normal","7
Primary Tumor","7
Solid Tissue Normal","8
Primary Tumor","8
Solid Tissue Normal","9
Primary Tumor","9
Solid Tissue Normal","10
Primary Tumor","10
Solid Tissue Normal"
"liver03_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-23","48","MIX
Not Reported","11
Primary Tumor","11
Solid Tissue Normal","12
Primary Tumor","12
Solid Tissue Normal","13
Primary Tumor","13
Solid Tissue Normal","14
Primary Tumor","14
Solid Tissue Normal","15
Primary Tumor","15
Solid Tissue Normal"
"liver04_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-12","48","MIX
Not Reported","16
Primary Tumor","16
Solid Tissue Normal","17
Primary Tumor","17
Solid Tissue Normal","213
Primary Tumor","214
Solid Tissue Normal","19
Primary Tumor","19
Solid Tissue Normal","20
Primary Tumor","20
Solid Tissue Normal"
"liver05_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-27","48","MIX
Not Reported","23
Primary Tumor","23
Solid Tissue Normal","24
Primary Tumor","24
Solid Tissue Normal","25
Primary Tumor","25
Solid Tissue Normal","26
Primary Tumor","26
Solid Tissue Normal","27
Primary Tumor","27
Solid Tissue Normal"
"liver06_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-9","48","MIX
Not Reported","28
Primary Tumor","28
Solid Tissue Normal","31
Primary Tumor","31
Solid Tissue Normal","32
Primary Tumor","32
Solid Tissue Normal","33
Primary Tumor","33
Solid Tissue Normal","35
Primary Tumor","35
Solid Tissue Normal"
"liver07_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-2","48","MIX
Not Reported","36
Primary Tumor","36
Solid Tissue Normal","37
Primary Tumor","37
Solid Tissue Normal","351
Primary Tumor","352
Solid Tissue Normal","38
Primary Tumor","38
Solid Tissue Normal","40
Primary Tumor","40
Solid Tissue Normal"
"liver08_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-14","48","MIX
Not Reported","41
Primary Tumor","41
Solid Tissue Normal","43
Primary Tumor","43
Solid Tissue Normal","44
Primary Tumor","44
Solid Tissue Normal","45
Primary Tumor","45
Solid Tissue Normal","46
Primary Tumor","46
Solid Tissue Normal"
"liver09_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-18","48","MIX
Not Reported","47
Primary Tumor","47
Solid Tissue Normal","48
Primary Tumor","48
Solid Tissue Normal","49
Primary Tumor","49
Solid Tissue Normal","50
Primary Tumor","50
Solid Tissue Normal","51
Primary Tumor","51
Solid Tissue Normal"
"liver10_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-1","48","MIX
Not Reported","53
Primary Tumor","53
Solid Tissue Normal","55
Primary Tumor","55
Solid Tissue Normal","56
Primary Tumor","56
Solid Tissue Normal","57
Primary Tumor","57
Solid Tissue Normal","58
Primary Tumor","58
Solid Tissue Normal"
"liver11_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-6","48","MIX
Not Reported","59
Primary Tumor","59
Solid Tissue Normal","60
Primary Tumor","60
Solid Tissue Normal","61
Primary Tumor","61
Solid Tissue Normal","62
Primary Tumor","62
Solid Tissue Normal","63
Primary Tumor","63
Solid Tissue Normal"
"liver12_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-17","48","MIX
Not Reported","64
Primary Tumor","64
Solid Tissue Normal","65
Primary Tumor","65
Solid Tissue Normal","67
Primary Tumor","67
Solid Tissue Normal","68
Primary Tumor","68
Solid Tissue Normal","69
Primary Tumor","69
Solid Tissue Normal"
"liver13_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-8","48","MIX
Not Reported","18
Primary Tumor","18
Solid Tissue Normal","21
Primary Tumor","21
Solid Tissue Normal","22
Primary Tumor","22
Solid Tissue Normal","29
Primary Tumor","29
Solid Tissue Normal","30
Primary Tumor","30
Solid Tissue Normal"
"liver14_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-15","48","MIX
Not Reported","34
Primary Tumor","34
Solid Tissue Normal","39
Primary Tumor","39
Solid Tissue Normal","42
Primary Tumor","42
Solid Tissue Normal","52
Primary Tumor","52
Solid Tissue Normal","54
Primary Tumor","54
Solid Tissue Normal"
"liver15_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-29","48","MIX
Not Reported","66
Primary Tumor","66
Solid Tissue Normal","70
Primary Tumor","70
Solid Tissue Normal","71
Primary Tumor","71
Solid Tissue Normal","72
Primary Tumor","72
Solid Tissue Normal","73
Primary Tumor","73
Solid Tissue Normal"
"liver16_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-16","48","MIX
Not Reported","74
Primary Tumor","74
Solid Tissue Normal","75
Primary Tumor","75
Solid Tissue Normal","76
Primary Tumor","76
Solid Tissue Normal","77
Primary Tumor","77
Solid Tissue Normal","78
Primary Tumor","78
Solid Tissue Normal"
"liver17_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-22","48","MIX
Not Reported","79
Primary Tumor","79
Solid Tissue Normal","80
Primary Tumor","80
Solid Tissue Normal","81
Primary Tumor","81
Solid Tissue Normal","82
Primary Tumor","82
Solid Tissue Normal","83
Primary Tumor","83
Solid Tissue Normal"
"liver18_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-33","48","MIX
Not Reported","84
Primary Tumor","84
Solid Tissue Normal","85
Primary Tumor","85
Solid Tissue Normal","86
Primary Tumor","86
Solid Tissue Normal","87
Primary Tumor","87
Solid Tissue Normal","88
Primary Tumor","88
Solid Tissue Normal"
"liver19_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-25","48","MIX
Not Reported","89
Primary Tumor","89
Solid Tissue Normal","90
Primary Tumor","90
Solid Tissue Normal","91
Primary Tumor","91
Solid Tissue Normal","92
Primary Tumor","92
Solid Tissue Normal","93
Primary Tumor","93
Solid Tissue Normal"
"liver20_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-4","48","MIX
Not Reported","94
Primary Tumor","94
Solid Tissue Normal","95
Primary Tumor","95
Solid Tissue Normal","96
Primary Tumor","96
Solid Tissue Normal","97
Primary Tumor","97
Solid Tissue Normal","98
Primary Tumor","98
Solid Tissue Normal"
"liver21_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-26","48","MIX
Not Reported","99
Primary Tumor","99
Solid Tissue Normal","100
Primary Tumor","100
Solid Tissue Normal","101
Primary Tumor","101
Solid Tissue Normal","102
Primary Tumor","102
Solid Tissue Normal","103
Primary Tumor","103
Solid Tissue Normal"
"liver22_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-13","48","MIX
Not Reported","104
Primary Tumor","104
Solid Tissue Normal","105
Primary Tumor","105
Solid Tissue Normal","106
Primary Tumor","106
Solid Tissue Normal","107
Primary Tumor","107
Solid Tissue Normal","108
Primary Tumor","108
Solid Tissue Normal"
"liver23_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-5","48","MIX
Not Reported","109
Solid Tissue Normal","109
Primary Tumor","110
Primary Tumor","110
Solid Tissue Normal","111
Primary Tumor","111
Solid Tissue Normal","112
Primary Tumor","112
Solid Tissue Normal","113
Primary Tumor","113
Solid Tissue Normal"
"liver24_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-21","48","MIX
Not Reported","114
Primary Tumor","114
Solid Tissue Normal","115
Primary Tumor","115
Solid Tissue Normal","116
Primary Tumor","116
Solid Tissue Normal","117
Primary Tumor","117
Solid Tissue Normal","118
Primary Tumor","118
Solid Tissue Normal"
"liver25_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-20","48","MIX
Not Reported","119
Primary Tumor","119
Solid Tissue Normal","120
Primary Tumor","120
Solid Tissue Normal","121
Primary Tumor","121
Solid Tissue Normal","122
Primary Tumor","122
Solid Tissue Normal","123
Primary Tumor","123
Solid Tissue Normal"
"liver26_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-24","48","MIX
Not Reported","124
Primary Tumor","124
Solid Tissue Normal","125
Primary Tumor","125
Solid Tissue Normal","126
Primary Tumor","126
Solid Tissue Normal","127
Primary Tumor","127
Solid Tissue Normal","128
Primary Tumor","128
Solid Tissue Normal"
"liver27_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-19","48","MIX
Not Reported","129
Primary Tumor","129
Solid Tissue Normal","130
Primary Tumor","130
Solid Tissue Normal","131
Primary Tumor","131
Solid Tissue Normal","132
Primary Tumor","132
Solid Tissue Normal","133
Primary Tumor","133
Solid Tissue Normal"
"liver28_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-30","48","MIX
Not Reported","134
Primary Tumor","134
Solid Tissue Normal","135
Primary Tumor","135
Solid Tissue Normal","136
Primary Tumor","136
Solid Tissue Normal","137
Primary Tumor","137
Solid Tissue Normal","138
Primary Tumor","138
Solid Tissue Normal"
"liver29_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-10","48","MIX
Not Reported","139
Primary Tumor","139
Solid Tissue Normal","140
Primary Tumor","140
Solid Tissue Normal","141
Primary Tumor","141
Solid Tissue Normal","142
Primary Tumor","142
Solid Tissue Normal","143
Primary Tumor","143
Solid Tissue Normal"
"liver30_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-31","48","MIX
Not Reported","144
Primary Tumor","144
Solid Tissue Normal","145
Primary Tumor","145
Solid Tissue Normal","146
Primary Tumor","146
Solid Tissue Normal","147
Primary Tumor","147
Solid Tissue Normal","148
Primary Tumor","148
Solid Tissue Normal"
"liver31_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-32","48","MIX
Not Reported","149
Primary Tumor","149
Solid Tissue Normal","150
Primary Tumor","150
Solid Tissue Normal","151
Primary Tumor","151
Solid Tissue Normal","152
Primary Tumor","152
Solid Tissue Normal","153
Primary Tumor","153
Solid Tissue Normal"
"liver32_Proteome","HBV-Related Hepatocellular Carcinoma - Proteome-28","48","MIX
Not Reported","154
Primary Tumor","154
Solid Tissue Normal","155
Primary Tumor","155
Solid Tissue Normal","156
Primary Tumor","156
Solid Tissue Normal","157
Primary Tumor","157
Solid Tissue Normal","158
Primary Tumor","158
Solid Tissue Normal"
