										Triplicados	Vuelvo a empezar?																
source name	Organism	Organism part	Age	Developmental stage	Cell line	Cell type	Sex	Disease	Prognosis	Biological replicate	Individual	Material Type	Assay name	Technology type	Proteomics data acquisition method	Data file	File uri	Technical replicate	comment[fraction identifier]	Label	Instrument	Modification parameters	Cleavage agent details	m/z acquisition range	Precursor mass tolerance	Fragment mass tolerance]	Prognosis
20150414_QEp1_LC7_GaPI_SA_Serum_DT_01_150417011711	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_01_150417011711	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_02	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_02	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_03_150416181741	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_03_150416181741	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_04	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_04	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_05	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_05	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_06_150416213125	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_06_150416213125	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_07	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_07	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_08	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_08	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
20150414_QEp1_LC7_GaPI_SA_Serum_DT_09	Homo sapiens	Serum	not available	not available	not applicable	not applicable	not available	Healthy	Alive	1	21	Tissue	I_SA_Serum_DT_09	Proteomic profiling by mass spectrometry	NT=Data-Independent Acquisition	Search_96LH.zip	https://www.ebi.ac.uk/pride/archive/projects/PXD002854/Search_96LH.zip	1	1	NT=label free sample	Q Exactive HF Orbitrap	"NT=Carbamidomethyl; N-terminal acetylation; methionine oxydation"	NT=Trypsin and LysC	not available	not available	not available	Alive
