Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131
"Phosphoproteome_Batch004-R1","Phosphoproteome_Batch004-R1","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P013
Normal Adjacent Tissue","P013
Tumor","P014
Normal Adjacent Tissue
Disqualified","P014
Tumor
Disqualified","P015
Normal Adjacent Tissue","P015
Tumor","P016
Normal Adjacent Tissue","P016
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch004-R2","Phosphoproteome_Batch004-R2","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P013
Normal Adjacent Tissue","P013
Tumor","P014
Normal Adjacent Tissue
Disqualified","P014
Tumor
Disqualified","P015
Normal Adjacent Tissue","P015
Tumor","P016
Normal Adjacent Tissue","P016
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch005-R1","Phosphoproteome_Batch005-R1","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P017
Normal Adjacent Tissue","P017
Tumor","P018
Normal Adjacent Tissue","P018
Tumor","P019
Normal Adjacent Tissue","P019
Tumor","P020
Normal Adjacent Tissue","P020
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch005-R2","Phosphoproteome_Batch005-R2","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P017
Normal Adjacent Tissue","P017
Tumor","P018
Normal Adjacent Tissue","P018
Tumor","P019
Normal Adjacent Tissue","P019
Tumor","P020
Normal Adjacent Tissue","P020
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch006-R1","Phosphoproteome_Batch006-R1","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P021
Normal Adjacent Tissue","P021
Tumor","P022
Normal Adjacent Tissue","P022
Tumor","P023
Normal Adjacent Tissue","P023
Tumor","P024
Normal Adjacent Tissue","P024
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch006-R2","Phosphoproteome_Batch006-R2","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P021
Normal Adjacent Tissue","P021
Tumor","P022
Normal Adjacent Tissue","P022
Tumor","P023
Normal Adjacent Tissue","P023
Tumor","P024
Normal Adjacent Tissue","P024
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch007-R1","Phosphoproteome_Batch007-R1","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P025
Normal Adjacent Tissue","P025
Tumor","P026
Normal Adjacent Tissue","P026
Tumor","P027
Normal Adjacent Tissue","P027
Tumor","P028
Normal Adjacent Tissue","P028
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch007-R2","Phosphoproteome_Batch007-R2","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P025
Normal Adjacent Tissue","P025
Tumor","P026
Normal Adjacent Tissue","P026
Tumor","P027
Normal Adjacent Tissue","P027
Tumor","P028
Normal Adjacent Tissue","P028
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch008-R1","Phosphoproteome_Batch008-R1","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P029
Normal Adjacent Tissue","P029
Tumor","P030
Normal Adjacent Tissue","P030
Tumor","P031
Normal Adjacent Tissue","P031
Tumor","P032
Normal Adjacent Tissue","P032
Tumor","QC2_LateStageTumor_pool
Not Reported"
"Phosphoproteome_Batch008-R2","Phosphoproteome_Batch008-R2","12","QC1_(Tumor+Adjacent Normal)pool
Not Reported","P029
Normal Adjacent Tissue","P029
Tumor","P030
Normal Adjacent Tissue","P030
Tumor","P031
Normal Adjacent Tissue","P031
Tumor","P032
Normal Adjacent Tissue","P032
Tumor","QC2_LateStageTumor_pool
Not Reported"
