PX Accession,Experiment Type,# msruns,# samples,# PSMs,# peptides,# proteins,# proteins_quantified,# DEPs,# run time
PXD004683,DE,48,12,242962,64235,7991,4903,1806,5h 32m 32s
PXD004684,DE,15,8,340501,30074,5854,3503,1594,1h 10m 44s
PXD004873,DE,76,38,1788264,31725,5730,3404,1701,3h 20m 35s
PXD012574,DE,24,30,235755,47577,7493,4867,1470,3h 54m 32s
PXD014194,DE,145,72,1709208,22926,4867,2856,1847,exit with error
PXD022992,DE,12,6,1491915,135706,13172,9474,8393,6h 14m 59s
PXD023423,DE,36,6,487859,94888,10014,6683,-,8h 6m 50s
PXD025560,DE,203,203,5413288,88199,12115,8523,-,1d 11h 10m 31s
PXD030881,DE,24,10,407792,116306,12591,8260,8067,9h 53m 45s
PXD032263,DE,8,4,933494,112288,11163,8079,4617,4h 51m 56s
PXD033169,DE,50,50,280236,5190,1051,548,164,2h 11m 6s
PXD027817,DE,48,48,138587,2373,580,329,-,55m 42s
PXD002137,DE,192,32,5189483,166811,14360,10550,1152,2d 15h 6m 12s
PXD003497,DE,60,30,1231053,22914,4214,2439,1873,58m 26s
PXD025864,DE,18,6,318986,31954,5002,3101,165,1h 39m 17s
PXD023508,DE,80,80,157303,2805,717,265,-,15h 13m 52s
PXD003539,DE,120,60,1647895,23413,5859,3509,3269,1d 8h 48m 50s
PXD023508,DE,80,80,157373,2805,717,265,-,18h 22m 56s
PXD023508,DE,80,80,157534,2805,717,266,-,22h 7m 3s
PXD018830,DE,25,25,963529,64270,9438,6333,834,3h 19m 41s
PXD021394,DE,24,24,1123224,63072,9680,6577,-,2h 55m 21s
PXD028618,DE,18,18,295437,26261,5766,3478,-,3h 15m 37s
PXD010429,DE,4176,348,2887185,162572,12272,8227,4995,19h 42m
PDC000126,DE,204,170,1343724,175954,13093,9638,6434,20h 42m 10s
PXD002395,DE,198,33,4765530,181082,14583,10530,194,12h 2m 7s
PXD000672,DE,36,36,726081,25636,4903,2971,941,12h 47m 1s
PXD004691,DE,224,97,3709841,26493,4992,2956,1072,5h 39m 7s
PXD014943,DE,113,113,4406765,57115,8777,5609,2261,15h 59m 52s
PXD028251,DE,51,51,1366811,7134,869,538,-,16h 9m 47s
PXD014414,DE,24,30,101040,21693,4965,3130,544,10h 14m 45s
PXD014145,DE,12,11,146489,79960,10345,6482,991,2h 36m 30s
PXD020248,DE,4,12,100786,34042,5628,3458,-,2h 32m 31s
PXD020109,DE,12,4,80722,7736,2234,1217,165,1h 35m 2s
PXD030671,DE,18,33,184438,64775,7932,4665,-,1h 36m 6s
PXD020192,DE,92,46,1448010,74749,7764,6187,-,13h 27m 8s
PXD027008,DE,10,10,509878,37299,8052,5282,-,5h 54m 51s
PXD000561,AE,2211,85,X,X,X,12877,-,10h 18s
PXD000865,AE,1055,34,4237920,172953,10037,8974,-,4h 30m 5s
PXD000612,AE,231,11,6045925,148557,9806,8814,-,14h 34m 24s
PXD010154,AE,1367,38,X,X,X,X,-,2d 5h 30m
PXD020192,AE,92,46,1375083,74749,7764,6187,-,13h 27m 8s
PXD010271,AE,118?117,117,617834,70432,6868,5442,-,46m 17s
PXD004452,AE,184?169,4,334320,119730,10292,8693,-,50m 59s
PXD016999,AE,336,280,X,X,X,X,-,9h 40m 21s
PXD016999.1,AE,336,280,X,X,X,X,-,7h 29m 58s
PMID24274931,AE,80,4,102355,17313,2461,1814,-,1h 32m
PXD012755,AE,32,32,783742,28287,3569,2325,-,36m 11s
PXD004143,AE,4,2,39471,19399,5289,3518,-,2h 15m 57s
PXD005445,AE,105,7,2038883,154842,10265,9220,-,6h 17m 38s
PXD005445.1,AE,77,77,2719141,69016,6144,5205,-,3h 57m 49s
PXD012131,AE,312,26,4575069,183226,11238,10231,-,1d 1h 45m 4s
PXD019909,AE,154?152,12,3034839,242654,12833,11680,-,12h 40m 26s
PXD019909.1,AE,43,43,2362991,145471,13439,9445,-,7h 29m 58s
PXD008934,AE,34,34,1066704,44515,4216,3433,-,11h 11m
PXD006675,AE,448,56,X,X,X,11178,-,1d 15h 58m 57s
PXD008722,AE,252,21,3397589,137410,7863,6851,-,10h 4m 27s
PXD018678,AE,46,46,1967773,41521,6400?3947,3947,-,2h 52m 5s
PXD018678.1,AE,12,1,253170,67717,7104,5930,-,2h 16m 35s
PXD012636,AE,90,9,1609035,115580,7498,6425,-,9h 31m 27s
PXD011349,AE,55,55,317094,12108,1776,1309,-,1h 26m 30s
PXD005736,AE,24,2,379641,123716,9771,8518,-,2h 34m 57s
PXD008840,AE,504,84,6223755,153608,10246,9296,-,1d 20h 30m 24s
PXD022661,AE,60,5,144670,12042,2415,1667,-,48m 54s
PXD013523,AE,96,16,1527504,70547,7460,5855,-,5h 36m 26s
PXD019123,AE,27,9,377960,24551,3614,2860,-,2h 4m 54s
Total,,14945,3352,,,,,,
