PX Accession,Experiment Type,# msruns,# samples,# PSMs,# peptides,# proteins,# proteins_quantified,# DEPs,# run time
PXD004683,DE,48,12,242962,64235,7991,4903,1806,5h 32m 32s
PXD004684,DE,15,8,340501,30074,5854,3503,1594,1h 10m 44s
PXD004873,DE,76,38,1788264,31725,5730,3404,1701,3h 20m 35s
PXD012574,DE,24,30,235755,47577,7493,4867,1470,3h 54m 32s
PXD014194,DE,145,72,1709208,22926,4867,2856,1847,exit with error
PXD022992,DE,12,6,1491915,135706,13172,9474,8393,6h 14m 59s
PXD023423,DE,36,6,487859,94888,10014,6683,-,8h 6m 50s
PXD025560,DE,203,203,5413288,88199,12115,8523,-,1d 11h 10m 31s
PXD030881,DE,24,10,407792,116306,12591,8260,8067,9h 53m 45s
PXD032263,DE,8,4,933494,112288,11163,8079,4617,4h 51m 56s
PXD033169,DE,50,50,280236,5190,1051,548,164,2h 11m 6s
PXD027817,DE,48,48,138587,2373,580,329,-,55m 42s
PXD002137,DE,192,32,5189483,166811,14360,10550,1152,2d 15h 6m 12s
PXD003497,DE,60,30,1231053,22914,4214,2439,1873,58m 26s
PXD025864,DE,18,6,318986,31954,5002,3101,165,1h 39m 17s
PXD023508,DE,80,80,157303,2805,717,265,-,15h 13m 52s
PXD003539,DE,120,60,1647895,23413,5859,3509,3269,1d 8h 48m 50s
PXD023508,DE,80,80,157373,2805,717,265,-,18h 22m 56s
PXD023508,DE,80,80,157534,2805,717,266,-,22h 7m 3s
PXD018830,DE,25,25,963529,64270,9438,6333,834,3h 19m 41s
PXD021394,DE,24,24,1123224,63072,9680,6577,-,2h 55m 21s
PXD028618,DE,18,18,295437,26261,5766,3478,-,3h 15m 37s
PXD010429,DE,4176,348,2887185,162572,12272,8227,4995,19h 42m
PDC000126,DE,204,170,1343724,175954,13093,9638,6434,20h 42m 10s
PXD002395,DE,198,33,4765530,181082,14583,10530,194,12h 2m 7s
PXD000672,DE,36,36,726081,25636,4903,2971,941,12h 47m 1s
PXD004691,DE,224,97,3709841,26493,4992,2956,1072,5h 39m 7s
PXD014943,DE,113,113,4406765,57115,8777,5609,2261,15h 59m 52s
PXD028251,DE,51,51,1366811,7134,869,538,-,16h 9m 47s
PXD014414,DE,24,30,101040,21693,4965,3130,544,10h 14m 45s
PXD014145,DE,12,11,146489,79960,10345,6482,991,2h 36m 30s
PXD020248,DE,4,12,100786,34042,5628,3458,-,2h 32m 31s
PXD020109,DE,12,4,80722,7736,2234,1217,165,1h 35m 2s
PXD030671,DE,18,33,184438,64775,7932,4665,-,1h 36m 6s
PXD020192,DE,92,46,1448010,74749,7764,6187,-,13h 27m 8s
PXD027008,DE,10,10,509878,37299,8052,5282,-,5h 54m 51s
PXD000561,AE,2211,X,9539188,289928,14191,X,X,10h 18s
PXD000865,AE,1055,X,4584514,171870,10175,X,X,4h 30m 5s
PXD000612,AE,231,X,6045925,144138,9883,X,X,X
PXD010154,AE,1367,X,13644346,344215,15792,X,X,X
PXD020192,AE,92,X,1445072,59994,7920,X,X,X
PXD010271,AE,118,X,655277,69667,7031,X,X,X
PXD004452,AE,184,X,X,X,X,X,X,X
PXD016999,AE,336,X,3312949,185984,12261,X,X,X
PXD016999.1,AE,336,X,3409423,187453,12445,X,X,X
PMID24274931,AE,80,X,102355,16381,2576,X,X,X
PXD012755,AE,32,X,816445,20519,3685,X,X,X
PXD004143,AE,4,X,X,X,X,X,X,X
PXD005445,AE,105,X,X,X,X,X,X,X
PXD005445.1,AE,77,X,X,X,X,X,X,X
PXD012131,AE,312,X,X,X,X,X,X,X
PXD019909,AE,154,X,3223352,243137,13037,X,X,X
PXD019909.1,AE,43,X,X,X,X,X,X,X
PXD008934,AE,34,X,1133506,42867,4366,X,X,X
PXD006675,AE,448,X,10788990,210623,12281,X,X,X
PXD008722,AE,252,X,3397589,134566,7972,X,X,X
PXD018678,AE,46,X,X,X,X,X,X,X
PXD018678.1,AE,12,X,X,X,X,X,X,X
PXD012636,AE,90,X,1725188,113962,7633,X,X,X
PXD011349,AE,55,X,344925,12061,1954,X,X,X
PXD005736,AE,24,X,387828,123784,9949,X,X,X
PXD008840,AE,504,X,6493137,147323,10402,X,X,X
PXD022661,AE,60,X,159833,12788,2686,X,X,X
PXD013523,AE,96,X,1657534,65554,7601,X,X,X
PXD019123,AE,27,X,423137,24714,3797,X,X,X
Total,,14945,,,,,,,
