source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[individual]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]
PDC000329-Sample-1	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM20	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-2	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM2	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_127n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-3	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM18	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_127c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-4	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM14	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_128n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-5	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM18	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_128c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-6	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM20	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_129n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-7	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM2	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_129c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-8	not available	not available	not available	not available	not available	not available	Breast Invasive Carcinoma	1	WHIM14	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_130n	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Breast Invasive Carcinoma	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-9	not available	not available	not available	not available	not available	not available	Not Reported	1	CR3	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_130c	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Not Reported	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
PDC000329-Sample-10	not available	not available	not available	not available	not available	not available	Not Reported	1	CR1	not available	Xenograft Tissue	run1	proteomic profiling by mass spectrometry	BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw	https://d3iwtkuvwz4jtf.cloudfront.net/raw-files/94/129/BR20180216_SS_Microscale_PDXBiopsy_ProteomeF1.raw?Expires=1685518224&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Q7GrHyO5798lSPwpmnzSW-6UrfF4tzLq0viPBPMvuos96~wGbvuyxaYb-S-7i9vw3feA1pOohBdbwqlOOtBDhqO9Zjn8pk5PmjTazht6pnx9CUv7lOB-DxXGjcpa6lTXe6VDJesYltkArH1Zoz~lhWUB8kXStzsK6Ip9y2jJGe-byvXLUkecyN9IFc8HidnVBizqBkFgeKfao7lhtIkq1-c0fLHUhTnLhyIj9mKwiXFzgnbmeLBJih-s~~xxEBQ-F93QgkQ9F5FFg2ul80Ss20uDmsktUfTKc2ZCke-JWxeWCZMVF-7gnzEBexwFmSIQkTJ~p0b6jWTvONlGy6ZPaQ__	1	1	tmt_131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=HCD;AC=PRIDE:0000590	36% NCE	20 ppm	20 ppm	Not Reported	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Acetyl;MT=Variable;PP=N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N;AC=UNIMOD:7	NT=Pyro-carbamidomethyl;MT=Variable;TA=C;PP=N-term;AC=UNIMOD:26	NT=TMT6plex;MT=Fixed;TA=K;AC=UNIMOD:737	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251
