source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell type]
PXD023904-Sample-1	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-positive epithelial cells	not available	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_05_E8_1_3054.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_05_E8_1_3054.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-positive epithelial cells
PXD023904-Sample-2	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-positive epithelial cells	not available	2	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_04_E7_1_3052.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_04_E7_1_3052.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-positive epithelial cells
PXD023904-Sample-3	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-positive epithelial cells	not available	3	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_03_E6_1_3050.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_03_E6_1_3050.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-positive epithelial cells
PXD023904-Sample-4	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-positive epithelial cells	not available	4	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_02_E5_1_3047.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_02_E5_1_3047.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-positive epithelial cells
PXD023904-Sample-5	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-positive epithelial cells	not available	5	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_01_E4_1_3045.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1pos_01_E4_1_3045.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-positive epithelial cells
PXD023904-Sample-6	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-negative epithelial cells	not available	1	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_04_G8_1_3053.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_04_G8_1_3053.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-negative epithelial cells
PXD023904-Sample-7	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-negative epithelial cells	not available	2	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_03_G7_1_3051.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_03_G7_1_3051.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-negative epithelial cells
PXD023904-Sample-8	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-negative epithelial cells	not available	3	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_02_G6_1_3048.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_02_G6_1_3048.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-negative epithelial cells
PXD023904-Sample-9	Homo sapiens	fallopian tube	normal	not available	not available	FOXJ1-negative epithelial cells	not available	4	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_01_G5_1_3046.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1neg_01_G5_1_3046.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	FOXJ1-negative epithelial cells
PXD023904-Sample-10	Homo sapiens	fallopian tube	normal	not available	not available	mixed	not available	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1mixed_01_G4_1_3055.d	20210702_TIMS3_nLC14_AnMu_SA_AF72_OvCA_FOXJ1mixed_01_G4_1_3055.d	1	1	AC=MS:1001251;NT=Trypsin	NT=timsTOF Pro;AC=MS:1003005	NT=Acetyl;MT=Variable;TA=Any N-term;AC=UNIMOD:1	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Data-Independent Acquisition;AC=PRIDE:0000450	NT=HCD;AC=PRIDE:0000590	20 ppm	20 ppm	mixed
