Plex Dataset Name,Run Metadata ID,Number of Fractions,tmt_126,tmt_127n,tmt_127c,tmt_128n,tmt_128c,tmt_129n,tmt_129c,tmt_130n,tmt_130c,tmt_131
"01CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-1","24","02OV032
Primary Tumor","JHU QC
Not Reported","04OV057
Primary Tumor","04OV028
Primary Tumor","15OV001
Primary Tumor","17OV011
Primary Tumor","01OV007
Solid Tissue Normal","04OV018
Primary Tumor","04OV063
Primary Tumor","PNNL-JHU Ref
Not Reported"
"02CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-2","24","JHU QC
Not Reported","17OV003
Solid Tissue Normal","01OV023
Solid Tissue Normal","17OV039
Primary Tumor","17OV015
Primary Tumor","17OV017
Primary Tumor","17OV005
Solid Tissue Normal","17OV028
Primary Tumor","02OV008
Primary Tumor","PNNL-JHU Ref
Not Reported"
"03CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-3","24","04OV005
Primary Tumor","01OV017
Solid Tissue Normal","02OV001
Primary Tumor","11OV002
Solid Tissue Normal","02OV041
Primary Tumor","17OV025
Primary Tumor","17OV018
Primary Tumor","01OV029
Primary Tumor","17OV010
Primary Tumor","PNNL-JHU Ref
Not Reported"
"04CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-4","24","17OV027
Primary Tumor","01OV029
Solid Tissue Normal","20OV005
Primary Tumor","14OV011
Solid Tissue Normal","02OV006
Primary Tumor","26OV009
Primary Tumor","02OV036
Primary Tumor","JHU QC
Not Reported","26OV008
Primary Tumor","PNNL-JHU Ref
Not Reported"
"05CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-5","24","17OV004
Solid Tissue Normal","02OV023
Primary Tumor","04OV039
Primary Tumor","04OV037
Primary Tumor","04OV051
Primary Tumor","04OV040
Primary Tumor","01OV030
Primary Tumor","26OV002
Primary Tumor","02OV046
Primary Tumor","PNNL-JHU Ref
Not Reported"
"06CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-6","24","01OV017
Primary Tumor","01OV007
Primary Tumor","01OV039
Solid Tissue Normal","17OV014
Primary Tumor","17OV040
Primary Tumor","04OV033
Primary Tumor","JHU QC
Not Reported","17OV033
Primary Tumor","04OV053
Primary Tumor","PNNL-JHU Ref
Not Reported"
"07CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-7","24","01OV018
Primary Tumor","04OV050
Primary Tumor","04OV021
Primary Tumor","04OV054
Primary Tumor","04OV048
Primary Tumor","04OV017
Primary Tumor","04OV023
Primary Tumor","04OV031
Primary Tumor","15OV001
Solid Tissue Normal","PNNL-JHU Ref
Not Reported"
"08CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-8","24","01OV013
Solid Tissue Normal","18OV001
Primary Tumor","26OV013
Primary Tumor","02OV015
Primary Tumor","01OV039
Primary Tumor","04OV055
Primary Tumor","02OV005
Primary Tumor","17OV036
Primary Tumor","11OV010
Solid Tissue Normal","PNNL-JHU Ref
Not Reported"
"09CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-9","24","04OV011
Primary Tumor","04OV024
Primary Tumor","01OV019
Solid Tissue Normal","01OV041
Primary Tumor","04OV045
Primary Tumor","01OV008
Solid Tissue Normal","11OV002
Primary Tumor","01OV026
Primary Tumor","26OV011
Primary Tumor","PNNL-JHU Ref
Not Reported"
"10CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-10","24","17OV029
Primary Tumor","17OV013
Primary Tumor","17OV030
Primary Tumor","04OV012
Primary Tumor","14OV029
Solid Tissue Normal","04OV036
Primary Tumor","13OV003
Primary Tumor","01OV010
Solid Tissue Normal","04OV044
Primary Tumor","PNNL-JHU Ref
Not Reported"
"11CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-11","24","14OV011
Primary Tumor","04OV013
Primary Tumor","02OV022
Primary Tumor","01OV023
Primary Tumor","17OV002
Primary Tumor","17OV002
Solid Tissue Normal","04OV058
Primary Tumor","04OV027
Primary Tumor","01OV047
Primary Tumor","PNNL-JHU Ref
Not Reported"
"12CPTAC_OVprospective_Proteome_PNNL_20161212","S038-2-12","24","04OV001
Primary Tumor","02OV044
Primary Tumor","17OV001
Solid Tissue Normal","04OV049
Primary Tumor","17OV001
Primary Tumor","04OV008
Primary Tumor","04OV004
Primary Tumor","JHU QC
Not Reported","02OV029
Primary Tumor","PNNL-JHU Ref
Not Reported"
